title,authors,subjects
Experiment with a Plant's Living Environment,Nadia Higgins,"Plants,Plants, juvenile literature,Science, experiments,Science, experiments, juvenile literature,Picture books"
Peppa Pig,Peppa Pig Staff,"Juvenile fiction,Specimens,Swine,Toy and movable books,Board books,Pictorial works,Children's fiction,Picture books,Pigs, fiction,Coloring books,Student activities,Creative activities and seat work,Peppa Pig (Fictitious character) - Juvenile fiction,Computers - Juvenile fiction,Accessible book,Protected DAISY"
The Velveteen Rabbit,Margery Williams Bianco,"Children's fiction,Love, fiction,Picture books,Toys, fiction,Rabbits, fiction,Toys,Fiction,Rabbits,JUVENILE FICTION / Classics,Love,Pictorial works,Juvenile fiction,Hase,Liebe,Spielzeug,Accessible book,Protected DAISY"
Tiny Blessings,Amy Parker,"Children's fiction,Food, fiction,Toy and movable books,Picture books,Christian life, fiction,Christmas, fiction,Family, fiction,Family life, fiction,Bedtime, fiction"
The rough-face girl,Rafe Martin,"Algonquian Indians,Algonquin Indians,Cinderella (Tale),Folklore,Indians of North America,Juvenile literature,Legends,Disfigured persons,Adaptations,Sisters,People & Places,Native American,Juvenile fiction,Social Themes,Cinderella (Tale.),Fairy Tales & Folklore,JUVENILE FICTION,Values & Virtues,Children's fiction,Girls, fiction,Picture books for children,Picture books,Indians of north america, folklore, juvenile literature,Indians of north america, folklore,Accessible book,Protected DAISY"
Arthur's family vacation,Marc Brown,"Juvenile fiction,Fiction,Vacations,Aardvark,Family,Family life,Animals,Reading List,Picture books,Easy reading material,Kindergarten,Armstrong Elementary,Families,Arthur (Fictitious character : Brown),Novela juvenil,Animales,Vacaciones,Spanish language materials,Vida familiar,Children's fiction,Boys, fiction,Arthur (fictitious character : brown), fiction,Aardvark, fiction,Family life, fiction,Vacations, fiction,Accessible book,Protected DAISY"
Back to School (It's a Kid's World),Global Fund for Children (Organization),"Elementary schools,Elementary Education,Schools,Education,Juvenile literature,Picture books,Schools & education centres,School & Education,Education, Elementary,Preschool Multicultural Studies,Juvenile Nonfiction,Education / Teaching,Children: Grades 1-2,Children: Preschool,Elementary,Education, elementary,Education, juvenile literature,Schools, juvenile literature,Accessible book,Protected DAISY"
Would you rather be a bullfrog?,Dr. Seuss,"Decision making,Fiction,Juvenile fiction,Juvenile literature,Stories in rhyme,Animals,Pictorial works,Children's fiction,Picture books,Toy and movable books,Accessible book,Protected DAISY"
Florina and the Wild Bird,Selina Chönz,"Children,Picture books,Poetry,Translations of Rhaeto-Romance/Romansh texts,Stories in rhyme,Birds,Fiction"
Ruby's Wish,Marta Anson,"Education,Fiction,Girls,History,Juvenile fiction,Sex role,Social life and customs,People & Places - Asia,People & Places - United States - Asian American,Interactive Adventure,Children's Books/Ages 4-8 Nonfiction,19th century,China,Spanish: Grades 2-3,Sex role, fiction,Education, fiction,China, fiction,Children's fiction,Girls, fiction,Picture books,Manners and customs,Accessible book,Protected DAISY"
Frog and Toad (Frog and Toad All Year / Frog and Toad Are Friends / Frog and Toad Together),Arnold Lobel,"accelerated reader 1.4,animals,beginner,beginning reader,best friends,books and reading,chapter book,children's fiction,children's short stories in english,children's stories,classics,comedy & humor,cookies,courage,dragons,easy books,emotions & feelings,fiction,friendship,frogs,frogs & toads,gardens,giants,humor & funny stories,i can read book,juvenile audience,juvenile fiction,juvenile literature,juvenile works,kindness,lexile 301-400,loyalty,newbery honor,pictorial works,picture books,primary school,reader,readers,readers (primary),seasons,sharing,sharing & cooperating,short stories,social themes,study and teaching,toads,Accessible book,Protected DAISY"
Prince Bertram the Bad,Holly Metz,"Fairy tales,Children's stories,Behavior,Fiction,Political Repression,Special Subjects In Art,1978-,Blacks,Politics and government,Race relations,South Africa,Politics/International Relations,Picture books,Children's fiction,Accessible book,Protected DAISY"
The first thousand words in Italian,Patrizia Di Bello,"Italian language,Vocabulary,Juvenile literature,Foreign Language Study - Italian,General,Children's 4-8,Modern languages (ie other than English),Picture books,Italian,Accessible book,Protected DAISY"
Zoom,Istvan Banyai,"Visual perception,Stories without words,Fiction,wordless book,picture book,Juvenile fiction,Juvenile Literature,Children's fiction,Picture books,Perception, fiction,Accessible book,Protected DAISY"
Faithful Elephants,Yukio Tsuchiya,"Elephants,Fiction,Juvenile fiction,World War, 1939-1945,Zoo keepers,Animal welfare,Juvenile literature,Picture books for children,Picture books,Animal-human relationships,Zookeepers,Elephants, juvenile literature,Animals, treatment,Animal welfare, juvenile literature,World war, 1939-1945, japan,World war, 1939-1945, juvenile literature,Children's fiction,Elephants, fiction,Zoos, fiction,World war, 1939-1945, fiction,Japan, fiction,Accessible book,Protected DAISY"
The cake that Mack ate,Rose Robart,"Picture books,Children,Cake,Dogs,Fiction,Children's fiction,Baking, fiction"
Cops and robbers,John Baddeley,"Children's stories,Christmas,Fiction,Robbers and outlaws,Stories in rhyme,Picture books,Children's fiction,Robbers and outlaws, fiction,Christmas, fiction,Accessible book,Protected DAISY"
Cork and Fuzz,Dori Chaconas,"Winning and losing,Muskrat,Lost articles,Lost and found possessions,Opossums,Juvenile fiction,Porcupines,Fiction,Babysitters,Picture books,Body size,Best friends,Ducks,Friendship,Collectors and collecting,Size,Animals,Stature,Children's fiction,Collectors and collecting, fiction,Friendship, fiction,Ducks, fiction,Muskrats, fiction,Opossums, fiction,Accessible book,Protected DAISY"
"Sleeping Beauty, Magic Master",Alex Lopez,"Children's fiction,Picture books"
The Pigeon finds a hot dog!,Mo Willems,"Fiction,Sharing,Pigeons,Ducks,Juvenile fiction,Humorous stories,Children's fiction,Pigeons, fiction,Ducks, fiction,Sharing, fiction,New York Times reviewed,Birds,Picture books,Children's stories,Pictorials works,Accessible book,Protected DAISY"
Goody Two Shoes,Walter Crane,"Fairy tales,Picture books,Accessible book"
"June 29, 1999",David Wiesner,"Science,Vegetables,Fiction,Science fiction,Experiments,Juvenile fiction,Children's fiction,Vegetables, fiction,picture books,juvenile literature,plants,Accessible book,Protected DAISY"
"Gobble, Growl, Grunt",Peter Spier,"Animal sounds,Juvenile literature,Picture books,Animals, juvenile literature,Animals,Accessible book"
Sam and the Tigers,Julius Lester,"Tigers,Humorous stories,Juvenile fiction,Fiction,Tiger,Children's fiction,Tiger, fiction,Picture books,Humorous fiction,Accessible book,Protected DAISY"
Katie and the Mona Lisa,James Mayhew,"Children's fiction,Art, fiction,Renaissance Art,Juvenile fiction,Fiction,Museums,Art appreciation,Art, Renaissance,Leonardo, da vinci, 1452-1519, fiction,Picture books,Accessible book,Protected DAISY"
Up and Down,Nàdia Revenga Garcia,"Fly,Cannon,Flying,Friend,Friendship,Cannonball,Flight,Juvenile fiction,Penguins,Fiction,Children's fiction,Penguins, fiction,Flight, fiction,Friendship, fiction,Picture books,Toy and movable books,Best friends,Pictorial works,Children's stories,Amistad,Ficción juvenil,Vuelo,Pingüinos,Accessible book,Protected DAISY"
"Night Monkey, Day Monkey",Julia Donaldson,"Polarity,Night,Juvenile fiction,Day,Monkeys,Pictorial works,Fiction,Play,Children's stories,Friendship,Children's fiction,Friendship, fiction,Monkeys, fiction,Picture books,Accessible book,Protected DAISY"
Behaviour Matters,Trevor Dunton,"Conduct of life,Juvenile fiction,Children's fiction,Sharing, fiction,Picture books,Truthfulness and falsehood, fiction,Accessible book,Protected DAISY"
The house of four seasons,Roger Duvoisin,"Color,Fiction,Children's fiction,Family life, fiction,Color, fiction,Picture books,Accessible book,Protected DAISY"
Around the year,Tasha Tudor,"Stories in rhyme,Year,Months,Fiction,Poetry,Picture books,Seasons,Juvenile literature,Children's fiction,Months, fiction,Accessible book,Protected DAISY"
Friends,Michael Foreman,"Fishes,Cats,Friendship,Fiction,Juvenile fiction,Picture books,Picture books for children,Children's fiction,Cats, fiction,Fishes, fiction,Friendship, fiction,Goldfish,Accessible book,Protected DAISY"
Goldilocks and the Three Bears,Àlex López,"Children's fiction,Picture books,Adventure and adventurers, fiction,Plot-your-own stories"
"The Hello, Goodbye Window",Norton Juster,"Caldecott medal book,Picture books,Grandparent and child,Windows,Grandparents,Juvenile fiction,Day,Fiction,Grandparent-grandchild relationship,Picture books for children,Days,Grandparent,Salutations,Children's fiction,Grandparents, fiction,collectionID:caldecott00,Accessible book,Protected DAISY"
The moon book,Gail Gibbons,"Juvenile literature,Moon, juvenile literature,Moon,Picture books,Accessible book,Protected DAISY"
Lovable Lyle,Bernard Waber,"Children's fiction,Crocodiles, fiction,Picture books,Lyle the crocodile (fictitious character), fiction,Crocodiles,Fiction,Juvenile fiction,Accessible book,Protected DAISY"
Caillou,Christine L'Heureux,"Caillou (Fictitious character),Juvenile fiction,Pictorial works,Maternal Love,Love,Romance fiction,Fiction,Sleep,Fear,Emotions, juvenile literature,Sleep, juvenile literature,Picture books,Accessible book,Protected DAISY"
Cave-baby and the Mammoth,Lisa Williams,"Mammoths,Juvenile fiction,Cave dwellers,Children's stories,Pictorial works,English language readers,Cave dwellers in fiction,Fiction,Courage,Mammoths in fiction,Courage in fiction,Children's fiction,Cave dwellers, fiction,Elephants, fiction,Picture books,Mamut,cavernicola,espanol,spanish,Accessible book,Protected DAISY"
Spider-Man 2,Kate Egan,"Spider-Man (Fictitious character),Fiction,Picture books,Juvenile fiction,Heroes,Children's fiction,Spider-man (fictitious character), fiction,Heroes, fiction,Adventure and adventurers, fiction"
Heads and Tails,John Canty,"Children's fiction,Animals, fiction,Picture books,Polarity, juvenile literature,Polarity,Children's questions and answers,Questions and answers"
The rain puddle,Adelaide Holl,"Children's literature,Children's fiction,Animals, fiction,Picture books,Accessible book,Protected DAISY"
The dog,John Burningham,"Dogs,Fiction,Children's stories,Picture books,Dogs, fiction,Children's fiction"
Arthur's funny money,Lillian Hoban,"Money-making projects for children,Chimpanzees,Brothers and sisters,Juvenile fiction,Moneymaking projects,Fiction,Business enterprises,Picture books,Siblings,Children's fiction,Chimpanzees, fiction,Money, fiction,Arthur (fictitious character : hoban), fiction,Accessible book,Protected DAISY"
Pardon? said the giraffe,Colin West,"Animals,Fiction,Frogs,Giraffe,Size,Children's fiction,Giraffes, fiction,Frogs, fiction,Animals, fiction,Size and shape, fiction,Picture books for children,Picture books"
Mojave,Diane Siebert,"Juvenile poetry,Poetry,Deserts,American poetry,Picture books,Picture books for children,Children's fiction,Accessible book,Protected DAISY"
It looked like spilt milk,Charles Green Shaw,"Clouds,Hmong language materials,Form perception,Juvenile fiction,Fiction,Bilingual,Juvenile literature,Shapes,Rabbits,Flowers,Children's fiction,Nature, fiction,Bilingual..,Size and shape, fiction,Picture books,Accessible book,Protected DAISY"
Where's Wallace,Hilary Knight,"Children's fiction,Picture books,Apes, fiction,Monkeys, fiction,Accessible book,Protected DAISY"
Come over to my house,Katie Kath,"Housing,Readers (Elementary),Juvenile poetry,Children's poetry, American,Stories in rhyme,Dwellings,Fiction,Manners and customs,Juvenile fiction,Friendship,Picture books,Children's fiction,Friendship, fiction,Houses, fiction,Accessible book,Protected DAISY"
The Giant Jumperee,Julia Donaldson,"Frogs,Juvenile fiction,Animals,Fiction,Stories in rhyme,Children's fiction,Picture books,Jumping,Accessible book,Protected DAISY"
The Scarecrows Wedding,Axel Scheffler,"Stories in rhyme,Humorous stories,Scarecrows,Juvenile fiction,Weddings,Fiction,Child and youth fiction,Children's fiction,Toy and movable books,Picture books,Scarecrows, fiction,Marriage, fiction,Farm life, fiction,Planning,Farms,Farm life,Domestic animals,Accessible book,Protected DAISY"
We're All Wonders,R. J. Palacio,"Emotions, fiction,People with disabilities, fiction,Children's fiction,Human Abnormalities,Picture books,Self-acceptance,Juvenile fiction,Teasing,Dogs,Fiction,Spanish language materials,Materiales en español,Imaginacion,Aprobación de sí mismo,Bullying in schools,Bromear,Ficcion juvenil,Imagination,Harassment,Deformidades,Imagination in children,nyt:picture-books=2017-04-16,New York Times bestseller"
The Great Diamond Chase,Simon Sebag-Montefiore,"Children's fiction,Adventure and adventurers, fiction,Rabbits, fiction,London (england), fiction,Picture books"
Who's a Pest?,Crosby Bonsall,"Fiction,Animals,Brothers and sisters,Humorous stories,Self-perception,Bears,Siblings,Juvenile fiction,Children's fiction,Behavior, fiction,Picture books,Boys, fiction,Readers,Animals, fiction,Friendship, fiction,Accessible book,Protected DAISY"
Bailey goes camping,Kevin Henkes,"Fiction,Rabbits,Camping,Picture books,Juvenile fiction,Sports,Children's fiction,Camping, fiction,Rabbits, fiction,Accessible book,Protected DAISY"
Hurry! hurry!,Jeff Mack,"Eggs,Chickens,Domestic animals,Fiction,Juvenile fiction,Children's fiction,Eggs, fiction,Domestic animals, fiction,Chickens, fiction,Picture books,Accessible book,Protected DAISY"
Scruffy,Peggy Parish,"Birthday presents,Juvenile fiction,Birthdays,Fiction,Cats,Picture books for children,Picture books,Cats, fiction,Rescue work, fiction,Birthdays, fiction,Accessible book,Protected DAISY"
Whose shoes?,Brian Wildsmith,"Juvenile fiction,Shoes,Picture books,Juvenile literature,Stories without words,Children's fiction,Clothing and dress, fiction,Accessible book,Protected DAISY"
What Makes a Magnet?,True Kelley,"Magnets,Juvenile literature,Experiments,Magnets, juvenile literature,Picture books,JUVENILE NONFICTION / Science & Nature / Astronomy,JUVENILE NONFICTION / Science & Nature / Earth Sciences,JUVENILE NONFICTION / Science & Nature / Experiments & Projects,Magnetism, juvenile literature,Magnetism,Accessible book,Protected DAISY"
A little prairie house,Laura Ingalls Wilder,"Frontier and pioneer life,Families,Picture books,Historical fiction,Juvenile fiction,Family life,Fiction,Children's fiction,Family life, fiction,Frontier and pioneer life, fiction,Middle west, fiction,Accessible book,Protected DAISY"
Duck,David Lloyd,"Juvenile fiction,Vehicles,Animals,Grandmothers,Fiction,Picture books for children,Picture books,Children's fiction,Grandparents, fiction,Animals, fiction,Automobiles, fiction,Ducks, fiction,Accessible book,Protected DAISY"
The blanket,John Burningham,"Fiction,Blankets,Bedtime,Lost and found possessions,Children's stories,Lost articles,Juvenile fiction,Picture books,Children's fiction,Accessible book,Protected DAISY"
Outside My Window,Liesel Moak Skorpen,"Bears,Fiction,Juvenile fiction,Picture books,Children's fiction,Bears, fiction,Boys, fiction,Accessible book,Protected DAISY"
I Want to Paint My Bathroom Blue,Ruth Krauss,"Imagination,Juvenile fiction,House painting,Fiction,Painting, fiction,Children's fiction,Interior decoration, fiction,Picture books,Accessible book,Protected DAISY"
Chester the Worldly Pig,Bill Peet,"Children's fiction,Pigs, fiction,Adventure and adventurers,Wit and humor,Juvenile fiction,Swine,Ambition,Animals,Circus,Pigs,Fiction,Picture books,Accessible book,Protected DAISY"
"Where there's a bear, there's trouble!",Michael Catchpool,"Animal sounds,Bears,Bees,Counting,Fiction,Juvenile fiction,Pictorial works,Wolves,Courage,Stories in rhyme,Picture books,Accessible book,Protected DAISY"
The Gunniwolf,Wilhelmina Harper,"Children's fiction,Fairy tales,Folklore,Picture books,Accessible book,Protected DAISY"
Henny Penny,Paul Galdone,"Picture books for children,Picture books,Fairy tales,Folklore, juvenile literature,Children's fiction"
Henry and Mudge in the green time,Cynthia Rylant,"Juvenile fiction,Summer,Dogs,Fiction,Summer in fiction,Dogs in fiction,Picture books,Mudge (Fictitious character : Rylant),Henry (Fictitious character : Rylant),Children: Grades 1-2,Children's fiction,Adventure and adventurers, fiction,Mudge (fictitious character), fiction,Accessible book,Protected DAISY"
The High-Rise Private Eyes #6,Cynthia Rylant,"Fiction,Dice in fiction,Animals in fiction,Animals,Dice,Mystery and detective stories,Children's fiction,Animals, fiction,Foxes, fiction,Picture books,Cities and towns, fiction,Accessible book,Protected DAISY"
Where have you been?,Margaret Wise Brown,"Stories in rhyme,Animals,Fiction,Nursery rhymes,Poetry,Juvenile poetry,Picture books,Animals, fiction,Children's fiction,Animals, poetry,Family life, fiction,Accessible book,Protected DAISY"
Very Far Away,Maurice Sendak,"Children's fiction,Picture books,Accessible book,Protected DAISY"
Is it Passover yet?,Chris Barash,"Passover,Families,Stories in rhyme,Seder,Juvenile fiction,Family life,Fiction,Picture books,Children's fiction,Passover, fiction,Family life, fiction,Accessible book,Protected DAISY"
Fowl play,Travis Nichols,"Humorous stories,Animals,Idioms,Juvenile fiction,Mystery and detective stories,English language,Fiction,Children's fiction,Animals, fiction,Picture books,Graphic novels,Accessible book,Protected DAISY"
The sorely trying day,Russell Hoban,"Fiction,Brothers and sisters,Family life,Blame,Responsibility,Animals,Quarreling,Families,Juvenile fiction,Children's fiction,Picture books,Family, fiction,Accessible book,Protected DAISY"
From Tadpole to Frog,Wendy Pfeffer,"Frogs, juvenile literature,Frogs,Amphibians, juvenile literature,Animals, infancy,Juvenile literature,Tadpoles,Development,Infancy,Amphibians,Metamorphosis,Animals,Picture books,Accessible book,Protected DAISY"
Faces,Jan Pienkowski,"Facial expression,Pictorial works,Picture books for children,Picture books,Juvenile literature,Emotions,Pictorial worksJuvenile literature,Accessible book,Protected DAISY"
Pigs Will Be Pigs,Amy Axelrod,"Picture books,Money,Juvenile fiction,Fiction,Personal Finance,Pigs,Swine,Children's fiction,Pigs, fiction,Money, fiction,Finance, personal, fiction,Accessible book,Protected DAISY"
The Detective Dog,Cristina Rodríguez Fischer,"juvenile fiction,picture books,detective,dog,dogs,books,theft,fiction,Libraries,Stories in rhyme,Detector dogs,Children's fiction,Human-animal relationships,Lost articles,Reading,Dogs, fiction,Books, fiction,Theft, fiction,Picture books,Toy and movable books,Accessible book,Protected DAISY"
Boys' potty time with special reward STICKERS,Dawn Sirett,"Boys' potty training,Boys' Health and Hygiene,Juvenile Literature,Potty training,Toilet training,From diapers to potty,Reward Stickers,Health and hygiene,Juvenile literature,Board books,Boys,Toilet training, juvenile literature,Toy and movable books,Picture books,Accessible book,Protected DAISY"
Africa Dream,Eloise Greenfield,"Juvenile fiction,Fiction,Picture books,Fantasy,Dreams,Children,1000blackgirlbooks,Accessible book,Protected DAISY"
Armadillo Rodeo,Jan Brett,"Rodeos,Fiction,Armadillos,Animals,Mammals,Juvenile fiction,JUVENILE FICTION,Children's fiction,Rodeos, fiction,Farm life, fiction,Texas, fiction,Animals, fiction,Picture books,New York Times reviewed,Accessible book,Protected DAISY"
The owl who was afraid of the dark,Jill Tomlinson,"Fear of the dark,Owls,Fiction,Night,Children's fiction,Picture books,Toy and movable books,Owls, fiction,Accessible book,Protected DAISY"
Cowgirl Kate and Cocoa,Erica Silverman,"Horses,Picture books,First day of school,Cowgirls,Schools,Juvenile fiction,Fiction,Horses, fiction,Children's fiction,Animals, infancy, fiction,Building, fiction,Schools, fiction,First day of school, fiction,Accessible book,Protected DAISY"
One potato,Sue Porter,"Potatoes,Domestic animals,Fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
Ice-Cream Dreams,Nancy E. Krulik,"Humorous stories,Picture books,Fiction,SpongeBob SquarePants (Fictitious character),Juvenile fiction,SpongeBob Squarepants (Fictitious character),Ice cream, ices,Marine animals,Promotions,Disappointment,Accessible book,Protected DAISY"
Don't sneeze at the wedding,Pamela Mayer,"Weddings,Juvenile fiction,Sneezing,Jews,Fiction,Picture books,Children's fiction,Marriage, fiction,Jews, fiction,Accessible book,Protected DAISY"
Everyone Is Special,A. A. Milne,"Differences,juvenile works,juvenile fiction,juvenile audience,self-esteem,self-acceptance,primary school,friendship,picture books,children's stories,fiction,Accessible book,Protected DAISY"
I love you so much,Carl Norac,"Love,Picture books,Hamsters,Fiction,Parent and child,Romance fiction,Accessible book,Protected DAISY"
Taking my dog to the vet,Susan Kuklin,"Veterinary hospitals,Veterinary medicine,Juvenile literature,Dogs,Diseases,Cats,Picture books for children,Picture books,Cats, juvenile literature,Veterinary medicine, juvenile literature,Accessible book,Protected DAISY"
The secret in the matchbox,Val Willis,"Schools,Secrets,Fiction,Dragons,Spanish language materials,Dragones,Juvenile fiction,Novela juvenil,Escuelas,Secretos,Ficción juvenil,Picture books,Children's fiction,New York Times reviewed,Accessible book,Protected DAISY"
Hilo,Judd Winick,"Extraterrestrials,Identity (Philosophical concept.),Science fiction,Extraterrestrial beings,Graphic novels,Robots,Fiction,SCIENCE FICTION,Identity,Amnesia,Aliens (Fictional characters),Comic books, strips,Friendship,Identity (Philosophical concept),Identity (Psychology),Children's fiction,Robots, fiction,Friendship, fiction,Identity, fiction,Extraterrestrial beings, fiction,Comic books, strips, etc.,Amnesia, fiction,Picture books,nyt:hardcover-graphic-books=2016-02-07,New York Times bestseller,Accessible book,Protected DAISY"
Spinderella,Julia Donaldson,"Soccer,Fiction,Spiders,Natural Numbers,Counting,Numbers, Natural,Lectures et morceaux choisis,Anglais (Langue),Soccer stories,Juvenile fiction,Lectures et morceaux choisis (Enseignement primaire),Calcul,Numbers,Readers,Children's fiction,Counting books,Picture books,Brothers and sisters,Accessible book,Protected DAISY"
Dinosaurs Are Having a Party!,Garry Parsons,"Children's fiction,Stories in rhyme,Picture books,Dinosaurs, fiction,Parties, fiction,Dinosaurs,Fiction,Parties,Juvenile fiction,Children's stories,Accessible book,Protected DAISY"
Storyteller Book,Annabel Spenceley,"Children's fiction,Fairy tales,Picture books,Peter pan (fictitious character), fiction,Never-never land (imaginary place), fiction"
Princess Mirror-Belle and the Dragon Pox,Julia Donaldson,"Juvenile fiction,Dragons,Picture books for children,Princesses,Opposites,Chickenpox,Children's fiction,Princesses, fiction,Picture books,Accessible book,Protected DAISY"
Hole Story,Paul Bright,"Children's fiction,Picture books,Size and shape, fiction"
"You read to me, I'll read to you",Mary Ann Hoberman,"Snakes,Juvenile poetry,Bears,Poetry,,Children's poetry,Poetry,Books and reading,Stories in rhyme,Cats,American poetry,Puppies,Mice,Children's poetry, American,Children's fiction,Fables,Animals, fiction,Picture books,Accessible book,Protected DAISY"
Winnie the Witch,Valerie Thomas,"Children's fiction,Witches, fiction,Cats, fiction,Picture books,Winnie the Witch (Fictitious character),Pictorial works,Juvenile fiction,Witches,Cats,Hexe,Kind,Katze,Accessible book,Protected DAISY"
Down in the sea,L. Patricia Kite,"Crabs,Octopuses,Sea slugs,Jellyfishes,Nudibranchia,Juvenile literature,Picture books,Accessible book,Protected DAISY"
Peace at Last,Jill Murphy,"Children's fiction,Picture books,Sleep, fiction,Accessible book,Protected DAISY"
The Goodnight Train,June Sobel,"Railroads, fiction,Children's fiction,Bedtime, fiction,Stories in rhyme,Picture books,Toy and movable books"
Just Go to Bed,Mercer Mayer,"Juvenile fiction,Imagination,Sleep,Rabbits,Bedtime,Fiction,Picture books,Children's fiction,Fiction. d.,Accessible book,Protected DAISY"
Learn-A-Word Picture Book,Nicola Tuxworth,"Clothing and dress,Juvenile literature,Pictorial works,Size and shape,Size perception, juvenile literature,Picture books for children,Picture books,Pets,Accessible book,Protected DAISY"
Your world,Billy N. Pope,"Aeronautics,Agriculture,Building,Fairs,Farms,Juvenile literature,Picture books,Postal service,Ships"
Tiggers Hate to Lose,Isabel Gaines,"Fiction,Toys,Winning and losing,Games,Picture books,High interest-low vocabulary books,Primary school,animals,Accessible book,Protected DAISY"
What do bunnies do all day?,Judy Mastrangelo,"Juvenile fiction,Rabbits,Fiction,Children's fiction,Rabbits, fiction,Picture books,Accessible book,Protected DAISY"
Hattie and the fox,Mem Fox,"Fiction,Chickens,Foxes,Domestic animals,Readers,Picture books,Children's fiction,Foxes, fiction,Chickens, fiction,Accessible book,Protected DAISY"
If You Take a Mouse to School,Laura Numeroff,"Juvenile fiction,Schools,Mice,Fiction,Mice in fiction,Schools in fiction,Spanish language materials,Picture books,Cumulative tales,Humorous fiction,Boys and mice,Ficción juvenil,Ratones,Escuelas,Children's fiction,Mice, fiction,Schools, fiction,Accessible book,Protected DAISY"
Watch out! Big Bro's coming!,Jez Alborough,"Jungle animals,Brothers,Juvenile fiction,Fiction,Fear,Mice,Size,Human behavior,Children's fiction,Jungle animals, fiction,Fear, fiction,Size and shape, fiction,Mice, fiction,Animals,Picture books,Size perception,Picture books for children,Pictorial works,Accessible book,Protected DAISY"
Spot,Eric Hill,"School stories,Picture books,Spot (Fictitious character),Juvenile fiction,Dogs,Fiction,Accessible book,Protected DAISY"
Duck at the Door,Jackie Urbanovic,"Fiction,Winter,Juvenile fiction,Ducks,Animals,Picture books,JUVENILE FICTION,Humorous Stories,Pets,Accessible book,Protected DAISY"
Roxaboxen,Alice McLerran,"Imagination,Play,Fiction,Picture books,Juvenile fiction,Leadership in children,Imaginary places,Seasons,Friendship,Imagination in children,Accessible book,Protected DAISY"
Swing around the sun,Barbara Juster Esbensen,"Juvenile poetry,Poetry,American poetry,Seasons,Children's poetry, American,Seasons, juvenile literature,Seasons, poetry,Picture books,Children's poetry,Accessible book,Protected DAISY"
Picturebooks,Bettina Kümmerling-Meibauer,"Picture books for children,Technique,Children's literature,History and criticism,Picture books,Narration (rhetoric),Mimesis in literature"
Nara and the Island,Dan Ungureanu,"Children's fiction,Picture books,Friendship, fiction,Islands, fiction,Fathers and daughters, fiction,Loneliness, fiction"
"Go to Sleep, Monty!",Kim Geyer,"Children's fiction,Picture books,Sleep, fiction,Dogs,Fiction,Animals,Bedtime,Infancy,Dogs, fiction,Animals, infancy, fiction,Bedtime, fiction"
Sam and the Firefly,P. D. Eastman,"Picture Books,Beginner Books,Owls,Easy Readers,Fireflies,Juvenile fiction,Fiction,Picture books,Poetry,Skywriting,Easy readers,JUVENILE FICTION,Animals,Insects, Spiders,Birds,Accessible book,Protected DAISY"
Clifford's Family (Clifford the Big Red Dog),Norman Bridwell,"Dogs,Dogs in fiction,Juvenile fiction,Spanish language materials,Fiction,Picture books,Family,Cilfford (Fictitious character),Children's fiction,Family life, fiction,Dogs, fiction,Clifford, the big red dog (fictitious character), fiction,Accessible book,Protected DAISY"
Horatio's bed,Camilla Ashforth,"Beds,Fiction,French language materials,Juvenile fiction,Toys,Rabbits,Picture books,Bears,Friendship,Sleep,Picture books for children,Accessible book,Protected DAISY"
The Foxwood regatta,Brian Paterson,"Animals,Foxwood (Imaginary place),Regattas,Fiction,Chinese language materials,Bilingual,Paddle steamers,Steamboats,Picture books,Juvenile fiction,Accessible book,Protected DAISY"
Snoopy and Red Baron,Charles M. Schulz,"Picture books,Juvenile fiction,Wit and humor,Cartoons and comics,Accessible book,Protected DAISY"
When I Grow Up,Steve Antony,"Children's fiction,Humorous stories,Picture books,Accessible book,Protected DAISY"
Morgan and me,Robin James,"Fiction,Procrastination,Princesses,Spanish language,Spanish language books,Readers,Juvenile fiction,Unicorns,Picture books,Children: Grades 2-3,Human behavior,Children's fiction,Fantasy fiction,Accessible book,Protected DAISY"
Is it Sukkot yet?,Chris Barash,"Judaism,Juvenile fiction,Customs and practices,Picture books,Sukkot,Children's fiction,Stories in rhyme,Religions, fiction,Accessible book,Protected DAISY"
Punk Farm on tour,Jarrett Krosoczka,"Rock music,Musicians,Fiction,Domestic animals,Juvenile fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
Käpten Knitterbart und seine Bande,Kasia Matyjaszek,"Juvenile fiction,Fiction,Pirates,Kidnapping,Picture books,Pictorial works,Girls, fiction,Children's fiction,Pirates, fiction,Accessible book,Protected DAISY"
Hide and Seek Pig (Tales from Acorn Wood),Axel Scheffler,"Juvenile fiction,Swine,Toy and movable books,Board books,Children's fiction,Stories in rhyme,Picture books,Accessible book,Protected DAISY"
Ganesha's sweet tooth,Sanjay Patel,"Hindu mythology,Ganesha (Hindu deity),Hindusim,Juvenile fiction,Fiction,Gaṇeśa (Hindu deity),Hinduism,Children's fiction,Hinduism, juvenile literature,India, fiction,Picture books"
This Is All,Aidan Chambers,"Teenage girls,Diaries,Fiction,Pregnant women in fiction,Teenage girls in fiction,Pregnant women,Picture books,Children's fiction,Pregnancy, fiction,Sex role, fiction,Sexual harassment, fiction,Girls, fiction,Fiction, family life,Young women, fiction,Adolescence,Interpersonal relations,Accessible book,Protected DAISY"
